Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
KOTA CIMAHI,JAWA BARAT,14/12/2021,607608,609,4367,3273,7.1872,0.091596,717.0771756978653,2.9498044328552804
KOTA CIREBON,JAWA BARAT,14/12/2021,319141,322,2669,4569,8.363075,0.037467,828.8819875776397,1.8040521787399388
KOTA DENPASAR,BALI,14/12/2021,997489,14959,14337,34990,14.373091,0.076725,95.84196804599237,1.40625
KOTA DEPOK,JAWA BARAT,14/12/2021,2490030,37352,26321,27405,10.570555,0.034193,70.46744484900407,2.166386388366802
KOTA DUMAI,RIAU,14/12/2021,309904,308,1952,1706,6.298725,0.0,633.7662337662338,1.2340917855765523
KOTA GORONTALO,GORONTALO,14/12/2021,218917,217,2300,4914,10.506265,0.086957,1059.9078341013826,3.251520872666247
KOTA GUNUNGSITOLI,SUMATERA UTARA,14/12/2021,146384,371,1315,1784,8.983222,0.0,354.44743935309975,6.15474794841735
KOTA JAKARTA BARAT,DKI JAKARTA,14/12/2021,2638873,2639,40179,109135,15.225818,0.049777,1522.5085259568018,4.315536253410614
KOTA JAKARTA PUSAT,DKI JAKARTA,14/12/2021,912543,910,22284,72543,24.419671,0.067313,2448.7912087912086,4.959497881014967
KOTA JAKARTA SELATAN,DKI JAKARTA,14/12/2021,2294361,2296,54487,164957,23.748224,0.049553,2373.1271777003485,2.1049125728559535
KOTA JAKARTA TIMUR,DKI JAKARTA,14/12/2021,2936259,2933,51424,100338,17.513441,0.038892,1753.2901466075689,4.251746209447784
KOTA JAKARTA UTARA,DKI JAKARTA,14/12/2021,1837785,1841,31584,39353,17.185906,0.060157,1715.5893536121673,4.93911062946568
